NUNOA	16	8
RENCA	15	51
CONCHALI	16	1
LO PRADO	16	2
RECOLETA	15	43
VITACURA	15	37
CERRILLOS	15	48
LO ESPEJO	15	48
QUILICURA	15	51
SAN RAMON	16	8
SAN MIGUEL	15	58
PUENTE ALTO	16	5
SAN JOAQUIN	15	47
SAN BERNARDO	15	50
INDEPENDENCIA	15	54
QUINTA NORMAL	15	57
ESTACION CENTRAL	15	55
	15	59
MACUL	16	1
MAIPU	16	11
LA REINA	16	11
PUDAHUEL	15	55
SANTIAGO	16	2
EL BOSQUE	16	1
LA GRANJA	16	1
PENALOLEN	16	2
HUECHURABA	15	51
LA FLORIDA	16	16
LA PINTANA	15	42
LAS CONDES	15	44
CERRO NAVIA	15	59
LA CISTERNA	16	7
LA PINTANA 	14	46
PROVIDENCIA	16	11
LO BARNECHEA	15	42
PEDRO AGUIRRE CERDA	15	55
