NUNOA	8	46
RENCA	8	7
CONCHALI	8	23
LO PRADO	8	26
RECOLETA	8	33
VITACURA	8	48
CERRILLOS	8	18
LO ESPEJO	8	2
QUILICURA	8	12
SAN RAMON	8	11
SAN MIGUEL	8	40
PUENTE ALTO	8	9
SAN JOAQUIN	8	24
SAN BERNARDO	7	55
INDEPENDENCIA	8	32
QUINTA NORMAL	8	25
ESTACION CENTRAL	8	42
	8	45
MACUL	8	38
MAIPU	8	13
LA REINA	8	45
PUDAHUEL	8	14
SANTIAGO	8	58
EL BOSQUE	8	8
LA GRANJA	8	11
PENALOLEN	8	22
HUECHURABA	8	26
LA FLORIDA	8	27
LA PINTANA	8	0
LAS CONDES	9	1
CERRO NAVIA	8	2
LA CISTERNA	8	23
LA PINTANA 	10	14
PROVIDENCIA	9	16
LO BARNECHEA	8	38
PEDRO AGUIRRE CERDA	8	18
