SANTIAGO	15872	24,31 %
PROVIDENCIA	8799	13,48 %
LAS CONDES	4870	7,46 %
LA CISTERNA	3925	6,01 %
SAN MIGUEL	3683	5,64 %
SAN BERNARDO	3244	4,97 %
EL BOSQUE	2724	4,17 %
NUNOA	2684	4,11 %
LA FLORIDA	2472	3,79 %
ESTACION CENTRAL	2457	3,76 %
RECOLETA	2014	3,08 %
MACUL	1621	2,48 %
PUENTE ALTO	1074	1,64 %
LA REINA	1067	1,63 %
PENALOLEN	938	1,44 %
LA PINTANA	746	1,14 %
VITACURA	710	1,09 %
SAN JOAQUIN	708	1,08 %
INDEPENDENCIA	576	0,88 %
MAIPU	548	0,84 %
QUILICURA	533	0,82 %
HUECHURABA	449	0,69 %
LO PRADO	425	0,65 %
CERRILLOS	405	0,62 %
SAN RAMON	391	0,60 %
LO BARNECHEA	349	0,53 %
QUINTA NORMAL	339	0,52 %
PUDAHUEL	331	0,51 %
PEDRO AGUIRRE CERDA	322	0,49 %
CONCHALI	317	0,49 %
LA GRANJA	246	0,38 %
RENCA	170	0,26 %
LO ESPEJO	162	0,25 %
CERRO NAVIA	119	0,18 %
	65290	
