SANTIAGO	16065	21,80 %
PROVIDENCIA	9809	13,31 %
LAS CONDES	6411	8,70 %
LA FLORIDA	3984	5,41 %
LA PINTANA	3248	4,41 %
PUENTE ALTO	3240	4,40 %
NUNOA	3215	4,36 %
LA CISTERNA	3028	4,11 %
SAN MIGUEL	2937	3,99 %
ESTACION CENTRAL	2186	2,97 %
LA REINA	1976	2,68 %
MACUL	1804	2,45 %
RECOLETA	1787	2,42 %
SAN JOAQUIN	1755	2,38 %
LA GRANJA	1641	2,23 %
VITACURA	1465	1,99 %
PENALOLEN	1247	1,69 %
EL BOSQUE	1097	1,49 %
SAN BERNARDO	671	0,91 %
LO BARNECHEA	661	0,90 %
SAN RAMON	631	0,86 %
QUILICURA	536	0,73 %
INDEPENDENCIA	526	0,71 %
MAIPU	504	0,68 %
HUECHURABA	459	0,62 %
LO PRADO	458	0,62 %
QUINTA NORMAL	428	0,58 %
CERRILLOS	408	0,55 %
PEDRO AGUIRRE CERDA	327	0,44 %
PUDAHUEL	323	0,44 %
CONCHALI	304	0,41 %
RENCA	216	0,29 %
LO ESPEJO	188	0,26 %
CERRO NAVIA	159	0,22 %
	73694	
