SANTIAGO	92068	20,12 %
PROVIDENCIA	91659	20,03 %
PUENTE ALTO	55855	12,21 %
LAS CONDES	46086	10,07 %
LA FLORIDA	36095	7,89 %
NUNOA	22292	4,87 %
MACUL	19805	4,33 %
LA REINA	12417	2,71 %
PENALOLEN	11090	2,42 %
ESTACION CENTRAL	7962	1,74 %
SAN JOAQUIN	7288	1,59 %
RECOLETA	6184	1,35 %
SAN MIGUEL	6085	1,33 %
VITACURA	5247	1,15 %
LA CISTERNA	5124	1,12 %
INDEPENDENCIA	3296	0,72 %
LO BARNECHEA	2850	0,62 %
QUILICURA	2417	0,53 %
HUECHURABA	2377	0,52 %
MAIPU	2292	0,50 %
LA PINTANA	2268	0,50 %
LO PRADO	2253	0,49 %
LA GRANJA	2232	0,49 %
PUDAHUEL	2150	0,47 %
QUINTA NORMAL	1768	0,39 %
CONCHALI	1358	0,30 %
SAN RAMON	1343	0,29 %
CERRILLOS	1249	0,27 %
PEDRO AGUIRRE CERDA	1155	0,25 %
EL BOSQUE	882	0,19 %
SAN BERNARDO	836	0,18 %
RENCA	716	0,16 %
CERRO NAVIA	474	0,10 %
LO ESPEJO	440	0,10 %
	457613	
