SANTIAGO	14169	21,00 %
SAN BERNARDO	10271	15,22 %
PROVIDENCIA	7858	11,64 %
LAS CONDES	4761	7,06 %
SAN MIGUEL	3142	4,66 %
ESTACION CENTRAL	2938	4,35 %
NUNOA	2797	4,14 %
LA CISTERNA	2752	4,08 %
LA FLORIDA	2273	3,37 %
RECOLETA	1947	2,89 %
EL BOSQUE	1678	2,49 %
MACUL	1343	1,99 %
LA REINA	1302	1,93 %
PENALOLEN	1115	1,65 %
LA PINTANA	913	1,35 %
SAN JOAQUIN	715	1,06 %
INDEPENDENCIA	704	1,04 %
VITACURA	700	1,04 %
PUENTE ALTO	699	1,04 %
MAIPU	552	0,82 %
QUILICURA	530	0,79 %
CERRILLOS	494	0,73 %
LO PRADO	453	0,67 %
HUECHURABA	447	0,66 %
QUINTA NORMAL	387	0,57 %
PUDAHUEL	362	0,54 %
LO ESPEJO	334	0,49 %
SAN RAMON	327	0,48 %
PEDRO AGUIRRE CERDA	324	0,48 %
LO BARNECHEA	317	0,47 %
CONCHALI	308	0,46 %
LA GRANJA	252	0,37 %
RENCA	214	0,32 %
CERRO NAVIA	104	0,15 %
	67482	
