MACUL	385003
MAIPU	814942
LA REINA	270833
PUDAHUEL	393966
SANTIAGO	3399396
EL BOSQUE	100235
LA GRANJA	91376
PENALOLEN	330317
HUECHURABA	123495
LA FLORIDA	764994
LA PINTANA	107178
LAS CONDES	1261339
CERRO NAVIA	147000
LA CISTERNA	351776
LA PINTANA 	29
PROVIDENCIA	1981993
LO BARNECHEA	84304
PEDRO AGUIRRE CERDA	150424
NUNOA	840303
RENCA	144559
CONCHALI	216306
LO PRADO	452712
RECOLETA	472187
VITACURA	127169
CERRILLOS	131914
LO ESPEJO	65855
QUILICURA	287271
SAN RAMON	116714
SAN MIGUEL	381408
PUENTE ALTO	745451
SAN JOAQUIN	130618
SAN BERNARDO	118621
INDEPENDENCIA	240821
QUINTA NORMAL	220782
ESTACION CENTRAL	733779
	5394549
